latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-8.53681,-42.41634,349.84,3.41,1.74,2023-10-07,20,Terra,MODIS,100,6.1NRT,300.56,347.26,N
-8.53307,-42.38562,326.34,3.39,1.74,2023-10-07,20,Terra,MODIS,100,6.1NRT,299.36,122.42,N
-7.72728,-42.47948,307.46,3.35,1.73,2023-10-07,20,Terra,MODIS,55,6.1NRT,296.29,26.08,N
-7.26962,-40.59774,306.38,2.33,1.48,2023-10-07,20,Terra,MODIS,62,6.1NRT,296.05,13.75,N
-7.267,-40.59261,315.03,2.33,1.48,2023-10-07,20,Terra,MODIS,89,6.1NRT,296.18,36,N
-7.26686,-40.57701,318.79,2.32,1.47,2023-10-07,20,Terra,MODIS,97,6.1NRT,296.25,47.74,N
-7.26442,-40.572,312.91,2.32,1.47,2023-10-07,20,Terra,MODIS,84,6.1NRT,296.05,30.88,N
-7.22686,-40.27724,318.34,2.19,1.44,2023-10-07,20,Terra,MODIS,96,6.1NRT,294.28,45.29,N
-7.22674,-40.27184,327.15,2.19,1.44,2023-10-07,20,Terra,MODIS,100,6.1NRT,294.71,75.57,N
-7.22427,-40.25229,307.17,2.19,1.43,2023-10-07,20,Terra,MODIS,65,6.1NRT,293.79,18.89,N
-7.22426,-40.25777,318.97,2.19,1.43,2023-10-07,20,Terra,MODIS,98,6.1NRT,294.28,47.04,N
-7.05973,-40.09356,307.72,2.11,1.41,2023-10-07,20,Terra,MODIS,68,6.1NRT,294.61,16.97,N
-7.02229,-40.09947,313.36,2.11,1.41,2023-10-07,20,Terra,MODIS,85,6.1NRT,294.51,28.79,N
-7.02081,-40.10534,310.01,2.11,1.41,2023-10-07,20,Terra,MODIS,77,6.1NRT,294.11,21.47,N
-6.90151,-39.30952,306.98,1.82,1.32,2023-10-07,20,Terra,MODIS,64,6.1NRT,294.62,11.37,N
-6.56807,-35.26512,312.78,1.04,1.02,2023-10-07,20,Terra,MODIS,86,6.1NRT,293.74,11.22,N
-6.77415,-43.30878,325.41,3.78,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,295.84,137.69,N
-6.76993,-43.27583,309.72,3.75,1.81,2023-10-07,22,Terra,MODIS,49,6.1NRT,295.16,39.92,N
-6.76612,-43.30297,342.24,3.78,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,296.75,299.09,N
-6.75803,-43.31061,343.41,3.78,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,296.62,315.37,N
-6.75396,-43.33802,325.25,3.8,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,295.27,130.96,N
-6.75389,-43.27797,309.68,3.75,1.81,2023-10-07,22,Terra,MODIS,33,6.1NRT,295.48,37.18,N
-6.75003,-43.30502,364.04,3.78,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,297.97,640.42,N
-6.74606,-43.3455,313.96,3.8,1.82,2023-10-07,22,Terra,MODIS,64,6.1NRT,294.89,59.48,N
-6.74194,-43.31269,368.6,3.78,1.82,2023-10-07,22,Terra,MODIS,100,6.1NRT,297.93,739.4,N
-6.73778,-43.27953,318.67,3.75,1.81,2023-10-07,22,Terra,MODIS,97,6.1NRT,296.01,85.1,N
-6.72583,-43.31458,319.01,3.78,1.82,2023-10-07,22,Terra,MODIS,98,6.1NRT,294.47,91.38,N
-6.24289,-44.36733,306.48,4.5,1.95,2023-10-07,22,Terra,MODIS,68,6.1NRT,294.63,39.44,N
-6.24114,-44.3729,306.96,4.5,1.95,2023-10-07,22,Terra,MODIS,68,6.1NRT,294.75,46.1,N
-6.15229,-43.85317,303.52,4.08,1.87,2023-10-07,22,Terra,MODIS,24,6.1NRT,292.62,29.62,N
-6.14758,-43.81753,312.52,4.05,1.87,2023-10-07,22,Terra,MODIS,84,6.1NRT,292.34,74.22,N
-6.14113,-43.84747,304.88,4.08,1.87,2023-10-07,22,Terra,MODIS,39,6.1NRT,292.76,34.94,N
-6.13683,-43.81276,304.8,4.05,1.87,2023-10-07,22,Terra,MODIS,37,6.1NRT,291.67,33.48,N
-6.10512,-44.7271,307.58,4.79,2,2023-10-07,22,Terra,MODIS,36,6.1NRT,290.34,57.24,N
-6.10011,-44.68494,319.19,4.75,1.99,2023-10-07,22,Terra,MODIS,98,6.1NRT,294.19,144.14,N
-6.09996,-44.68956,322.37,4.75,1.99,2023-10-07,22,Terra,MODIS,100,6.1NRT,294.13,177.78,N
-6.08765,-44.73462,312.79,4.79,2,2023-10-07,22,Terra,MODIS,72,6.1NRT,290.03,94.18,N
-6.08238,-44.69218,338.81,4.75,1.99,2023-10-07,22,Terra,MODIS,100,6.1NRT,294.69,378.36,N
-6.08236,-44.69898,333,4.75,1.99,2023-10-07,22,Terra,MODIS,100,6.1NRT,294.6,295.92,N
-6.0648,-44.70177,311.55,4.75,1.99,2023-10-07,22,Terra,MODIS,60,6.1NRT,293.49,83.46,N
